Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6660714,Pisma iz Norveške,Isidora Sekulić,"Sekulić, Isidora",,"=""8674730663""","=""9788674730669""",0,4.18,Prosveta,,175,2014,1914,,2026/01/01,currently-reading,currently-reading (#6),currently-reading,,,,1,0
46114,The Waves,Virginia Woolf,"Woolf, Virginia",,"=""0156949601""","=""9780156949606""",4,4.14,Harvest Books,Paperback,297,1978,1931,2025/12/27,2017/09/18,,,read,"Nekoliko godina unazad vodila sam računa o svom komšiji Dobrivoju, koji je imao 88 godina i živeo je sam. Zbog njega ovoj knjizi dajem četiri, a ne pet zvezdica.<br/>Dobrivoje je često govorio: „Ja sam uvek bio sam, ali nikada nisam bio usamljen.“ Kako je razmišljao, tako je i živeo.<br/>I na kraju svog života, kada je većina njegovih prijatelja već predala meč, on je i dalje imao nekoga kraj sebe. ❤️<br/>Ne zato što je bežao od starosti, već zato što joj nije pristupao sa strahom. Prihvatio ju je bez ogorčenosti. <br/>Dobrivoje mi je ostavio snažan osećaj da mi sami, u velikoj meri, određujemo kako ćemo doživeti proces starenja. <br/>U tom smislu, Talasi su mi bili izazovni.<br/>Stil pisanja je nestvarno lep, hipnotišući, ali je knjiga satkana od previše pesimističkih razmišljanja. <br/><br/>Prijala mi je dugo, sve do samog kraja, kada mi je odjednom postala jako opterećujuća, kao da misli više nemaju gde da se smeste.<br/>Svakako, nije lako čitati roman koji prati tok misli - naročito tok misli šest različitih osoba - ali vredi.<br/>Ne zbog priče, već zbog iskustva. ",,,1,0
244504383,Car radosti,Ocean Vuong,"Vuong, Ocean",Nikola Matić,"=""8660364228""","=""9788660364229""",0,3.91,Kontrast izdavaštvo,Paperback,392,2025,2025,,2025/12/27,to-read,to-read (#88),to-read,,,,0,0
1587010,L.A. Woman,Eve Babitz,"Babitz, Eve",,"=""""","=""""",0,3.48,Simon & Schuster,Hardcover,160,1982,1982,,2025/12/27,to-read,to-read (#87),to-read,,,,0,0
244261102,Venčanje u Vinter Hilu,Carson McCullers,"McCullers, Carson",Flavio Rigonat,"=""8679584096""","=""9788679584090""",0,3.81,LOM,Paperback,201,2025,1946,,2025/12/27,to-read,to-read (#86),to-read,,,,0,0
177068,The Fabric of Reality: The Science of Parallel Universes--and Its Implications,David Deutsch,"Deutsch, David",,"=""014027541X""","=""9780140275414""",0,4.14,Penguin Books,Paperback,390,1998,1996,,2025/12/22,to-read,to-read (#85),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.17,Viking,Hardcover,487,2011,2011,,2025/12/22,to-read,to-read (#84),to-read,,,,0,0
24987718,Demijan,Hermann Hesse,"Hesse, Hermann",,"=""9940250673""","=""9789940250676""",5,4.14,Narodna knjiga Podgorica,Hardcover,155,2012,1919,,2017/09/18,,,read," - Napolju je bila stvarnost, napolju su bile ulice i kuće, bili su ljudi i ustanove, biblioteke i učionice - a ovde unutra bile su ljubav i duša, ovde su živeli bajka i san. Pa ipak nipošto nismo živeli ograđeni od sveta, u mislima i razgovorima smo često živeli usred njega, samo na drugom jednom polju, od većine ljudi nismo bili odvojeni granicama nego drukčijim načinom gledanja. Naš zadatak je bio da na svetu predstavljamo ostrvo, možda uzor, u svakom slučaju nagoveštaj drukčije mogućnosti življenja. ❤️<br/><br/>Ova knjiga me je oduvala kao da sam tinejdžerka. ",,,2,0
212174157,"The Raven Scholar (Eternal Path Trilogy, #1)",Antonia Hodgson,"Hodgson, Antonia",,"=""152933988X""","=""9781529339888""",0,4.44,Hodderscape,Kindle Edition,656,2025,2025,,2025/11/05,to-read,to-read (#83),to-read,,,,0,0
222683974,The Loneliness of Sonia and Sunny,Kiran Desai,"Desai, Kiran",,"=""0307700151""","=""9780307700155""",0,3.86,Hogarth,Hardcover,688,2025,2025,,2025/11/04,to-read,to-read (#82),to-read,,,,0,0
7201449,Buka i bes,William Faulkner,"Faulkner, William",,"=""8674460291""","=""""",0,3.86,"Novosti, Beograd",Hardcover,317,2004,1929,,2025/10/09,to-read,to-read (#81),to-read,,,,0,0
15975,Blonde,Joyce Carol Oates,"Oates, Joyce Carol",,"=""2253152854""","=""9782253152859""",0,3.92,Le Livre de Poche,Mass Market Paperback,1110,2002,2000,,2025/09/23,to-read,to-read (#80),to-read,,,,0,0
5023504,Dnevnik jednog čarobnjaka,Paulo Koeljo,"Koeljo, Paulo",,"=""8674483402""","=""9788674483404""",0,3.65,Paideia,Hardcover,210,2007,1987,,2025/09/10,currently-reading,currently-reading (#5),currently-reading,,,,1,0
27403944,Godina zeca,Arto Paasilinna,"Paasilinna, Arto",,"=""8677201262""","=""9788677201265""",3,3.63,Odiseja,Paperback,138,2015,1975,2025/09/08,2025/09/07,,,read,,,,1,0
221312683,Tri svetla,Claire Keegan,"Keegan, Claire",Arijana Luburić Cvijanović,"=""8661454484""","=""9788661454486""",4,4.31,Geopoetika,Paperback,71,2024,2010,2025/08/27,2024/11/10,,,read,,,,1,0
26819614,Molekuli,Ivan Tokin,"Tokin, Ivan",,"=""""","=""""",0,4.35,Samizdat B92,Paperback,270,2015,2015,,2025/08/26,to-read,to-read (#79),to-read,,,,0,0
36245961,Pas,Ivan Tokin,"Tokin, Ivan",,"=""8680426164""","=""9788680426167""",4,4.30,Arete,Paperback,158,2017,2017,2025/08/26,2025/08/26,,,read,"Roman iz perspektive jednog psa. Savršena knjiga za čitanje radi opuštanja. Volim kako Tokin piše definitivno. <br/><br/>- Da sam neki pametan čovek ja bih sigurno znao da je depresija fina prilika za introspekciju i da može mnogo da se nauči od tog stanja kad se hemija u mozgu uzburka, pa na površinu izađe nešto što je bilo u dubini, pa onda čovek može lepo da ga razgleda sa svih strana, da ga prouči i da zna šta mu to radi tamo iz dubine. <br/><br/>- Lepo je kad se živi. Lepo je kad je teško. Lako je magla… Lako ima tanku priču. Lako je za turiste u rođenim životima. ",,,1,0
37787334,Sve drveće sva deca i svi bicikli u meni,Vitomirka Trebovac,"Trebovac, Vitomirka",,"=""8679581844""","=""9788679581846""",0,4.59,L.O.M.,Paperback,101,2017,2017,,2025/08/23,to-read,to-read (#78),to-read,,,,0,0
59181352,Nevidljive: Kako podaci kroje svet po meri muškaraca,Caroline Criado Pérez,"Pérez, Caroline Criado",Maja Bajić,"=""8652143013""","=""9788652143016""",0,4.34,Laguna,Paperback,326,2021,2019,,2025/08/19,currently-reading,currently-reading (#4),currently-reading,,,,1,0
63031194,Iskrena varalica,Tove Jansson,"Jansson, Tove",Slavica Milosavljević,"=""8677202862""","=""9788677202866""",3,3.81,Odiseja,Paperback,152,2022,1982,2025/08/15,2025/08/07,,,read,Ništa me kod ove knjige nije posebno oduševilo. Još jedna od onih knjiga gde je bilo mnogo više potencijala uz nedovoljnu razgradnju likova. <br/>Daću autorki još jednu šansu. ,,,1,0
13202092,Eat & Run: My Unlikely Journey to Ultramarathon Greatness,Scott Jurek,"Jurek, Scott",Steve Friedman,"=""0547569653""","=""9780547569659""",0,4.03,Houghton Mifflin Harcourt,Hardcover,272,2012,2012,,2025/08/10,to-read,to-read (#77),to-read,,,,0,0
78960,Good Wives,Louisa May Alcott,"Alcott, Louisa May",,"=""1419122126""","=""9781419122125""",0,3.98,Kessinger ,Paperback,248,2004,1869,,2025/07/29,currently-reading,currently-reading (#3),currently-reading,,,,1,0
